N,effect,t_design,power,effect_estimate,prob_effect,sd_effect_estimate
50,1.3,2,0,0.0875621633381085,0.8515,0.0877401141187213
65,1.3,2,0,0.125290160465949,0.9305,0.0859434081452606
15,1.5,2,0,0.129663248653188,0.8035,0.161702623103901
35,1.5,2,1,0.304114403118833,0.984,0.141333956455728
50,1.5,2,1,0.248427760090883,0.999,0.0716499734102591
65,1.5,2,1,0.386597762488944,1,0.076019093463252
15,1.3,3,0,0.267583699369237,0.9415,0.177145997014629
35,1.3,3,0,0.12302816908269,0.8705,0.110731667523004
50,1.3,3,1,0.258553254709675,0.996,0.098033418792134
65,1.3,3,1,0.180739744149035,0.99,0.0772071081265847
15,1.5,3,0,0.307748938673734,0.9715,0.164643342101042
35,1.5,3,0,0.19493420699049,0.952,0.118909767770193
50,1.5,3,1,0.346397751374053,1,0.0911256210291418
65,1.5,3,1,0.337186503311948,1,0.0766412799027983
15,1.3,4,0,0.0690731502017483,0.613,0.236330908139567
35,1.3,4,1,0.370561996095968,0.9985,0.114951633506651
50,1.3,4,1,0.374622508767558,1,0.109411008133994
65,1.3,4,1,0.193187320842571,0.976,0.092770855299187
15,1.5,4,0,0.183361368780227,0.941,0.118384482501139
35,1.5,4,0,0.175522194535186,0.941,0.112235829201911
50,1.5,4,1,0.357796752289965,1,0.0949134259599858
65,1.5,4,1,0.278830639114575,0.9995,0.0811487491665306
50,1,1,0,-0.0722802320651467,0.2035,0.0884940384747307
15,1.3,1,0,0.118260018027467,0.7955,0.145468220590099
35,1.3,1,1,0.280144622048229,0.9915,0.119218047016048
50,1.3,1,1,0.210221189385846,0.9975,0.073477304922325
65,1.3,1,0,0.113011109854548,0.931,0.0775460915273243
15,1.5,1,1,0.533314950135736,0.998,0.174897863780232
35,1.5,1,1,0.218719671611579,0.9855,0.100993122269368
50,1.5,1,1,0.290975449819776,1,0.0703598001899814
65,1.5,1,1,0.473595844631303,1,0.0834502150451315
15,1.3,2,0,0.114219599800283,0.743,0.185517259894203
35,1.3,2,1,0.395668261006093,1,0.104573702109312
50,1.3,2,0,0.16866022147391,0.9675,0.096082741512193
65,1.3,2,0,0.151974358501604,0.97,0.0807611441283309
15,1.5,2,1,0.565014378205043,0.998,0.182104810306084
35,1.5,2,1,0.492850346649867,1,0.0974844093323153
50,1.5,2,1,0.324064431219071,1,0.0824631651692783
65,1.5,2,1,0.31332402469308,0.9995,0.079058749138299
15,1.3,3,0,0.128173719296782,0.808,0.153455760365822
35,1.3,3,0,0.139392234113989,0.9045,0.10502952194026
50,1.3,3,0,0.122569903973582,0.942,0.0770929609568272
65,1.3,3,1,0.232002850077635,0.995,0.0875638046909487
15,1.5,3,0,0.191234032168107,0.8895,0.160705934128399
35,1.5,3,1,0.400678577884946,1,0.103604542742565
50,1.5,3,1,0.34428005690322,1,0.103425685947213
65,1.5,3,1,0.201724823427719,0.9885,0.0847518962007047
15,1.3,4,0,0.173436392814378,0.8665,0.156559971975949
35,1.3,4,1,0.2369854814875,0.993,0.0975257879159095
